ERROR 2020-12-04 01:36:31,147 exception 74 Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2020-12-04 01:36:31,283 basehttp 124 "GET / HTTP/1.1" 400 66912
ERROR 2020-12-04 01:36:32,244 exception 74 Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2020-12-04 01:36:32,322 basehttp 124 "GET /favicon.ico HTTP/1.1" 400 66825
ERROR 2020-12-04 01:48:02,668 exception 74 Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2020-12-04 01:48:02,884 basehttp 124 "GET / HTTP/1.1" 400 66912
ERROR 2020-12-04 01:48:03,942 exception 74 Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2020-12-04 01:48:04,032 basehttp 124 "GET /favicon.ico HTTP/1.1" 400 66825
INFO 2020-12-04 01:48:33,259 basehttp 124 "GET /admin HTTP/1.1" 301 0
INFO 2020-12-04 01:48:33,486 basehttp 124 "GET /admin/ HTTP/1.1" 200 4362
INFO 2020-12-04 01:48:33,817 basehttp 124 "GET /static/xadmin/vendor/bootstrap/css/bootstrap.css HTTP/1.1" 200 126432
INFO 2020-12-04 01:48:33,837 basehttp 124 "GET /static/xadmin/css/themes/bootstrap-xadmin.css HTTP/1.1" 200 1888
INFO 2020-12-04 01:48:33,861 basehttp 124 "GET /static/xadmin/vendor/font-awesome/css/font-awesome.css HTTP/1.1" 200 21658
INFO 2020-12-04 01:48:33,895 basehttp 124 "GET /static/xadmin/css/xadmin.main.css HTTP/1.1" 200 8376
INFO 2020-12-04 01:48:33,914 basehttp 124 "GET /static/xadmin/css/xadmin.plugins.css HTTP/1.1" 200 175
INFO 2020-12-04 01:48:33,925 basehttp 124 "GET /static/xadmin/css/xadmin.responsive.css HTTP/1.1" 200 4361
